UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
10090,Кирпичная улица,58481188,Кирпичная ул.,Kirpichnaya ulicza,1,,417,"7,70000000001471E+016",,,,,,,,
10100,1-й Кирпичный переулок,58481189,1-й Кирпичный пер.,Pervy'j Kirpichny'j pereulok,2,,417,"7,70000000001472E+016",,,,,,,,
10110,Большой Кисельный переулок,58481190,Б. Кисельный пер.,Bol`shoj Kisel`ny'j pereulok,2,,105,"7,70000000001473E+016",,,,,,,,
10120,Малый Кисельный переулок,58481191,М. Кисельный пер.,Maly'j Kisel`ny'j pereulok,2,,105,"7,70000000001474E+016",,,,,,,,
10130,Кисельный тупик,58481192,Кисельный туп.,Kisel`ny'j tupik,7,,105,"7,70000000001476E+016",,,,,,,,
10150,Нижний Кисловский переулок,58481193,Нижн. Кисловский пер.,Nizhnij Kislovskij pereulok,2,,101,106,"7,70000000001477E+016",,,,,,,
10160,Средний Кисловский переулок,58481194,Ср. Кисловский пер.,Srednij Kislovskij pereulok,2,,106,"7,70000000001478E+016",,,,,,,,
10170,Китайгородский проезд,58481195,Китайгородский пр.,Kitajgorodskij proezd,3,,107,108,"7,70000000007223E+016",,,,,,,
10190,Кленовый бульвар,58481196,Кленовый бульв.,Klenovy'j bul`var,8,,614,"7,7000000000148E+016",,,,,,,,
10200,улица Климашкина,58481197,ул. Климашкина,ulicza Klimashkina,1,,106,"7,70000000001481E+016",,,,,,,,
10210,Климентовский переулок,58481198,Климентовский пер.,Klimentovskij pereulok,2,,103,"7,70000000001482E+016",,,,,,,,
10235,Клинская улица,58481199,Клинская ул.,Klinskaya ulicza,1,,216,"7,70000000001483E+016",,,,,,,,
10237,Клинский проезд,58481200,Клинский пр.,Klinskij proezd,3,,216,"7,70000000007099E+016",,,,,,,,
10240,улица Клочкова,58481201,ул. Клочкова,ulicza Klochkova,1,,819,"7,70000000001484E+016",,,,,,,,
10250,Ключевая улица,58481202,Ключевая ул.,Klyuchevaya ulicza,1,,608,"7,70000000000497E+016",,,,,,,,
10260,Клязьминская улица,58481203,Клязьминская ул.,Klyaz`minskaya ulicza,1,,208,"7,70000000001485E+016",,,,,,,,
10270,Княжекозловский переулок,58481204,Княжекозловский пер.,Knyazhekozlovskij pereulok,2,,507,"7,70000000000286E+016",,,,,,,,
10280,Княжеская улица,58481205,Княжеская ул.,Knyazheskaya ulicza,1,,816,"7,70000000001486E+016",,,,,,,,
10290,улица Княжнина,58481206,ул. Княжнина,ulicza Knyazhnina,1,,507,"7,70000000000291E+016",,,,,,,,
10300,улица Софьи Ковалевской,58481207,ул. Софьи Ковалевской,ulicza Sof`i Kovalevskoj,1,,208,"7,70000000003625E+016",,,,,,,,
10310,Ковров переулок,58481208,Ковров пер.,Kovrov pereulok,2,,107,"7,70000000001487E+016",,,,,,,,
10320,улица Наташи Ковшовой,58481209,ул. Наташи Ковшовой,ulicza Natashi Kovshovoj,1,,820,"7,70000000003322E+016",,,,,,,,
10330,Ковылинский переулок,58481210,Ковылинский пер.,Kovy'linskij pereulok,2,,415,"7,70000000003659E+016",,,,,,,,
10340,площадь Викторио Кодовильи,58481211,пл. Викторио Кодовильи,ploshhad` Viktorio Kodovil`i,4,,416,"7,7000000000354E+016",,,,,,,,
10350,Кожевническая улица,58481212,Кожевническая ул.,Kozhevnicheskaya ulicza,1,,103,609,"7,70000000001488E+016",,,,,,,
10360,улица Кожевнический Вражек,58481213,ул. Кожевнический Вражек,ulicza Kozhevnicheskij Vrazhek,1,,609,"7,70000000003232E+016",,,,,,,,
10370,Кожевнический проезд,58481214,Кожевнический пр.,Kozhevnicheskij proezd,3,,103,"7,70000000001493E+016",,,,,,,,
10375,улица Маршала Кожедуба,58481215,ул. Маршала Кожедуба,ulicza Marshala Kozheduba,1,,508,"7,70000000007246E+016",,,,,,,,
10380,1-й Кожевнический переулок,58481216,1-й Кожевнический пер.,Pervy'j Kozhevnicheskij pereulok,2,,609,"7,70000000001489E+016",,,,,,,,
10390,2-й Кожевнический переулок,58481217,2-й Кожевнический пер.,Vtoroj Kozhevnicheskij pereulok,2,,609,"7,7000000000149E+016",,,,,,,,
10401,4-й Кожевнический переулок,58481218,4-й Кожевнический пер.,Chetvyorty'j Kozhevnicheskij pereulok,2,,609,"7,70000000001492E+016",,,,,,,,
10410,улица Василисы Кожиной,58481219,ул. Василисы Кожиной,ulicza Vasilisy' Kozhinoj,1,,818,"7,70000000000934E+016",,,,,,,,
10420,5-я Кожуховская улица,58481220,5-я Кожуховская ул.,Pyataya Kozhuxovskaya ulicza,1,,515,609,"7,7000000000018E+016",,,,,,,
10430,6-я Кожуховская улица,58481221,6-я Кожуховская ул.,Shestaya Kozhuxovskaya ulicza,1,,515,"7,70000000000181E+016",,,,,,,,
10440,7-я Кожуховская улица,58481222,7-я Кожуховская ул.,Sed`maya Kozhuxovskaya ulicza,1,,515,"7,70000000000182E+016",,,,,,,,
10450,1-й Кожуховский проезд,58481224,1-й Кожуховский пр.,Pervy'j Kozhuxovskij proezd,3,,609,"7,70000000001494E+016",,,,,,,,
10460,2-й Кожуховский проезд,58481225,2-й Кожуховский пр.,Vtoroj Kozhuxovskij proezd,3,,609,"7,70000000001495E+016",,,,,,,,
